pole_rs111,pole_rs211_low,pole_rs211_high,pole_rs221,pole_rs222
NaN + NaN*im,6.189576968512909 - 2.6128578196459723e-12im,6.778026281439875 + 0.12779301332528084im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.184046040614983 - 1.6911212419068928e-13im,7.575514350222577 + 0.313741479784436im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187267469066847 + 1.1060226195691882e-16im,7.212071637125166 + 0.26688057787373237im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188472808725856 - 1.3862188201437606e-10im,6.92185145761497 + 0.17679808724158816im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1902536866961295 + 7.420645821405072e-12im,6.932438726787462 + 0.3192800741404088im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.187557765385227 + 1.16174151545353e-16im,6.909299681789848 + 0.14733323746314747im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188262419059606 + 7.381756880951317e-17im,7.105911355775349 + 0.26460563799573966im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1887957160334715 - 1.4078588117058727e-11im,6.895617114201098 + 0.17936027639594104im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189708533645118 - 5.7171709155911906e-12im,6.881002386659803 + 0.14144361429051866im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.188940180445129 + 1.0257279810522085e-11im,6.898050585797417 + 0.17601375111667997im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.1882065973715665 + 3.4320609163369645e-17im,6.893660229222045 + 0.1678639918805396im,NaN + NaN*im,NaN + NaN*im
6.175858430659211 + 4.603874812864696e-11im,NaN + NaN*im,6.873105554326852 + 0.09726605539907422im,NaN + NaN*im,NaN + NaN*im
6.167390622528177 + 5.888001881098928e-18im,NaN + NaN*im,6.860898897070569 + 0.09049669762151025im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.191354676848954 - 3.226794632646288e-15im,6.892977523479711 + 0.21205043955927844im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.189756510116578 - 5.766449100420588e-12im,6.895645022448348 + 0.198618204752365im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190478673285245 - 2.3044369130129612e-11im,6.896006970682332 + 0.21091358233125998im,NaN + NaN*im,NaN + NaN*im
NaN + NaN*im,6.190076106103452 + 6.479739069595769e-12im,6.87410043890352 + 0.2357343479174341im,NaN + NaN*im,NaN + NaN*im
