pole_rs1,pole_rs2_low,pole_rs2_high,pole_rs3
NaN + NaN*im,6.200260759419216 + 0.010529284631159899im,6.530635880734671 - 0.2510296377445523im,6.827078758066744 + 0.133306059917899im
NaN + NaN*im,6.198884223387716 + 0.010207975480301494im,6.53133965520806 - 0.25632395191672114im,6.818083116943179 + 0.13405823442175796im
NaN + NaN*im,6.198605638337664 + 0.01033478548508025im,6.533877164380461 - 0.2653828049276275im,6.810099322534033 + 0.1363672377196459im
NaN + NaN*im,6.199013914229147 + 0.01071843044289137im,6.537932335241913 - 0.2777247610684951im,6.803371621872514 + 0.1401656584457817im
NaN + NaN*im,6.200022719922442 + 0.010493603298869614im,6.52963065168709 - 0.2568420285864707im,6.824892040336251 + 0.13423643374474206im
NaN + NaN*im,6.20262894710179 + 0.011870942655379996im,6.535294643532258 - 0.3270015222478872im,6.799097326208056 + 0.146934932129595im
NaN + NaN*im,6.205029388138653 + 0.012377052390338438im,6.555498905004697 - 0.31283721713115276im,6.806229900919413 + 0.1506843162372482im
NaN + NaN*im,6.20503543617774 + 0.012362924152755708im,6.556013318795817 - 0.30958018503367224im,6.8076486674960455 + 0.15031081730977566im
NaN + NaN*im,6.203481301400771 + 0.011529436437540088im,6.54780462241596 - 0.24416752968145491im,6.832000891473834 + 0.13546185506327746im
NaN + NaN*im,6.200239292904664 + 0.01052253626795039im,6.530608340355586 - 0.2510566309321766im,6.827033529261996 + 0.13330900134447218im
