chisq,lecs_init,lecs_final
1.2089,"(-12.8, -11.2, -1.4, -21.0, -5.7, -6.8, 433, 0.012336, 1, 1, 0, 1)","(-114.59469401704409, -102.80528618078793, 1.0460796634848566, -103.39982570043269, 52.102948220339414, -2.7051204631111467, 7360.6820009038265, 0.012336, 1.0, 1.0, 0.0, 1.0196966839728638)"
1.2098,"(-30.3, 12.0, 0.0, -19.0, 21.0, -40.5, 433, 0.012336, 1, 1, 0, 1)","(-7.76613014828729, 0.2954116848933675, -9.925390248614933, -3.648949756084028, 182.4511852201716, -12.183854023417444, 241.5015575340712, 0.012336, 1.0, 1.0, 0.0, 1.5739160798394343)"
1.218,"(-36.6, -31.1, -10.4, -35.5, -41.9, -34.9, 433, 0.012336, 1, 1, 0, 1)","(-9.618607607031933, -0.175085267488655, -11.771869951217319, -3.7773288489366985, 161.48737705910614, -13.617024257150959, 282.2506180342518, 0.012336, 1.0, 1.0, 0.0, 1.5288308327109272)"
1.2186,"(-30.2, -15.9, -3.0, -28.8, -47.0, -45.2, 433, 0.012336, 1, 1, 0, 1)","(-2.67630481250523, -4.808094054207073, 2.6425570084682835, -23.121081345694343, 727.5840567579233, -13.337800945712761, 146.88405026114995, 0.012336, 1.0, 1.0, 0.0, 1.5771948180887296)"
1.2213,"(36.2, 43.9, 6.5, 32.6, 17.6, -40.9, 433, 0.012336, 1, 1, 0, 1)","(12.050371896986805, 9.998502972530915, -1.7157100172332838, -2.699055816403291, -47.46632768937925, -3.4437151343559753, 563.4227215727556, 0.012336, 1.0, 1.0, 0.0, 1.1976124977380371)"
1.2249,"(-34.1, -10.3, -3.9, -6.2, 32.3, -7.4, 433, 0.012336, 1, 1, 0, 1)","(-21.37723569781078, -21.008615020175203, -12.380373297438014, -20.839623404986146, -441.3539137302232, -8.030848488597364, 1057.9241472323406, 0.012336, 1.0, 1.0, 0.0, 1.1759645606394007)"
1.2251,"(12.6, 27.0, 15.8, 10.8, 17.7, 2.9, 433, 0.012336, 1, 1, 0, 1)","(9.303654319033152, 10.23721278058586, 2.0850213577785817, -13.109222403156226, -257.12522801287224, -5.724763448112264, 511.93584817453535, 0.012336, 1.0, 1.0, 0.0, 1.1577239718977559)"
1.2253,"(-41.4, -10.8, -2.6, -6.2, -19.7, -2.9, 433, 0.012336, 1, 1, 0, 1)","(-4.715166750004371, -6.981585746304353, -0.7947990523763627, -11.599164463763977, 101.9406856633994, -3.5475258676182473, 123.38163442104866, 0.012336, 1.0, 1.0, 0.0, 2.375178424847193)"
1.2259,"(6.0, 15.1, 30.2, 13.8, 37.8, -28.2, 433, 0.012336, 1, 1, 0, 1)","(9.066511932774734, 6.312499834027817, -0.4018252245455298, -5.416621412493445, -53.11083900457998, -4.909746371333682, 351.6523603678138, 0.012336, 1.0, 1.0, 0.0, 1.3683723575403044)"
1.2281,"(-26.9, -24.4, -3.2, -36.6, 30.0, -5.3, 433, 0.012336, 1, 1, 0, 1)","(-20.48204140409451, -20.042570796001606, -12.18966755036786, -20.143221652017523, -425.4772951980085, -7.933394404222334, 967.1731606841398, 0.012336, 1.0, 1.0, 0.0, 1.193856753680414)"
1.2301,"(0.1, -8.6, -7.8, -22.1, -8.4, 0.8, 433, 0.012336, 1, 1, 0, 1)","(-2.828262436739801, -5.478195972684879, 4.1637920998203155, -25.70514405427046, 1038.5730835104857, -22.484130293555445, 150.77188461613608, 0.012336, 1.0, 1.0, 0.0, 1.501132007662661)"
1.2313,"(-1.4, 12.2, -39.8, -0.2, -46.2, -16.0, 433, 0.012336, 1, 1, 0, 1)","(-7.624255204171069, 3.822090632865948, -5.754425859912157, -7.571922486083347, 37.79284270660375, -1.5636992288230138, 391.68210042921504, 0.012336, 1.0, 1.0, 0.0, 0.5975392142758049)"
1.2323,"(-33.5, -35.1, -0.9, -50.0, 46.8, -8.3, 433, 0.012336, 1, 1, 0, 1)","(-5.068013830000951, -7.139240225117813, -1.1644231547281565, -11.203577178468027, 88.90678958213137, -3.2896840325111665, 134.59393464533645, 0.012336, 1.0, 1.0, 0.0, 2.26619146604588)"
1.2341,"(-18.5, -17.1, -28.7, -12.4, -31.1, -20.4, 433, 0.012336, 1, 1, 0, 1)","(-58.719413831913876, -3.70029977949518, -64.95189989085775, -8.64061126626842, -17.01245920746252, -70.27700865939117, 1955.0725648652563, 0.012336, 1.0, 1.0, 0.0, 1.0516318916348193)"
1.2348,"(-15.0, -17.8, -14.7, -37.2, -9.8, -15.1, 433, 0.012336, 1, 1, 0, 1)","(-7.8589242023871755, 0.34067358458420915, -11.336800801339773, -3.4540781403204672, 189.39900029429174, -16.36956904063029, 192.01416265527808, 0.012336, 1.0, 1.0, 0.0, 1.792402312722193)"
1.2367,"(-44.7, 16.4, -27.1, -25.9, -20.9, -22.7, 433, 0.012336, 1, 1, 0, 1)","(-7.116316266671431, 0.5863590523331315, -9.961306476150837, -3.573277239290425, 194.67886427318368, -13.87648338882367, 193.3302710972149, 0.012336, 1.0, 1.0, 0.0, 1.7517085846776825)"
1.2377,"(29.3, 37.9, 41.4, 3.9, 28.8, -23.3, 433, 0.012336, 1, 1, 0, 1)","(9.467867083253157, 10.870827493023013, -1.4952433839985013, -10.643144688015804, -24.50539704211465, -3.1057586954420904, 527.6890120288782, 0.012336, 1.0, 1.0, 0.0, 1.1876118715261321)"
1.238,"(41.8, -28.2, 27.6, 4.3, -15.1, -47.1, 433, 0.012336, 1, 1, 0, 1)","(6.124582949442733, -6.581678615553817, 1.677652615845981, -0.9148690809958288, 113.05143769394193, -1.8152473432640976, 279.76381128721874, 0.012336, 1.0, 1.0, 0.0, -0.022565321267751015)"
1.2395,"(-1.1, 20.4, 35.2, 6.8, -14.1, -24.4, 433, 0.012336, 1, 1, 0, 1)","(8.125796689322755, 7.858632129839426, 1.8010512046903286, -10.060651757381288, -212.392928325027, -5.756977131474782, 454.22746204863734, 0.012336, 1.0, 1.0, 0.0, 1.167243310516784)"
1.2448,"(10.1, 2.1, -12.7, 6.0, -9.5, -2.7, 433, 0.012336, 1, 1, 0, 1)","(0.6508458172754776, 1.3910279372900451, -5.717902144420048, -1.5452151564491672, 243.15836474809362, -10.137572768905, 852.6552788316752, 0.012336, 1.0, 1.0, 0.0, 0.29676757237685936)"
1.2469,"(-15.5, 4.3, 36.7, 2.3, 4.5, 22.9, 433, 0.012336, 1, 1, 0, 1)","(11.992252439388787, 0.1756547617482022, 6.1660707966103905, -8.243327619667657, -176.05653028726783, -2.8152549103782123, 833.7304017591821, 0.012336, 1.0, 1.0, 0.0, 0.9631349019010244)"
